IgG1-FITC_mean,IgG1-FITC_std,IgG1-PE_mean,IgG1-PE_std,CD45-ECD-1_mean,CD45-ECD-1_std,IgG1-PC5_mean,IgG1-PC5_std,IgG1-PC7_mean,IgG1-PC7_std,Kappa-FITC_mean,Kappa-FITC_std,Lambda-PE_mean,Lambda-PE_std,CD45-ECD-2_mean,CD45-ECD-2_std,CD19-PC5_mean,CD19-PC5_std,CD20-PC7_mean,CD20-PC7_std,CD7-FITC_mean,CD7-FITC_std,CD4-PE_mean,CD4-PE_std,CD45-ECD-3_mean,CD45-ECD-3_std,CD8-PC5_mean,CD8-PC5_std,CD2-PC7_mean,CD2-PC7_std,CD15-FITC_mean,CD15-FITC_std,CD13-PE_mean,CD13-PE_std,CD45-ECD-4_mean,CD45-ECD-4_std,CD16-PC5_mean,CD16-PC5_std,CD56-PC7_mean,CD56-PC7_std,CD14-FITC_mean,CD14-FITC_std,CD11c-PE_mean,CD11c-PE_std,CD45-ECD-5_mean,CD45-ECD-5_std,CD64-PC5_mean,CD64-PC5_std,CD33-PC7_mean,CD33-PC7_std,HLA-DR-FITC_mean,HLA-DR-FITC_std,CD117-PE_mean,CD117-PE_std,CD45-ECD-6_mean,CD45-ECD-6_std,CD34-PC5_mean,CD34-PC5_std,CD38-PC7_mean,CD38-PC7_std,CD5-FITC_mean,CD5-FITC_std,CD19-PE_mean,CD19-PE_std,CD45-ECD-7_mean,CD45-ECD-7_std,CD3-PC5_mean,CD3-PC5_std,CD10-PC7_mean,CD10-PC7_std,FL1-Log_mean,FL1-Log_std,FL2-Log_mean,FL2-Log_std,7AAD_mean,7AAD_std,FL4-Log_mean,FL4-Log_std,FL5-Log_mean,FL5-Log_std,label,fcs_file,split
4.5745864,0.5189979,4.168887,0.8648935,5.3077784,0.33411625,2.8227148,1.6515214,2.4447272,1.601914,4.770663,0.39885733,4.780887,0.47940245,5.310796,0.3680641,2.5992472,1.727931,2.9780614,1.4703262,4.7082233,0.34865856,4.6274405,0.6989011,5.3081584,0.33461207,2.5795016,1.7353964,2.3431582,1.6052684,5.0551314,0.68366325,5.3693914,0.65944755,5.168351,0.85808575,2.8733697,1.9295579,2.9027662,1.7284034,4.6553946,0.49096978,5.0596347,0.65289783,5.3051095,0.33629388,3.8317068,1.3453054,4.96668,0.8695666,4.704782,0.5188243,4.4228334,0.97921914,5.320691,0.34136787,2.8120453,1.7510827,4.758078,0.936623,4.608711,0.35696402,4.193441,0.8203474,5.315979,0.3272205,2.7822852,1.6870291,2.6076,1.6572654,4.556681,0.5164476,4.137227,1.0546417,4.4085813,0.4180032,3.2458236,1.3696277,2.713096,1.5292403,1,0239.FCS,train
4.4534492,0.8201646,4.455645,0.39561722,5.2723136,0.14901267,3.2079718,1.7292905,2.3739178,1.6029894,4.9306545,0.5992976,5.1224775,0.282507,5.252305,0.21170515,3.3449693,1.6918659,3.7137623,1.0291786,4.951542,0.41879433,4.601429,0.45410714,5.2690005,0.13944346,3.3471167,1.7121301,3.2099214,1.3440995,4.3917055,0.8977812,5.4231324,0.3335545,5.0357494,0.94793063,3.7702384,1.5382453,2.3706143,1.599602,4.692813,0.84860563,4.655326,0.36324182,5.238539,0.18557733,4.9225845,0.89839286,5.2755055,0.57682014,4.522467,0.5763484,4.8590097,0.38233483,5.22594,0.20692983,3.4558933,1.5662053,4.7907076,0.579803,4.5403337,0.4921967,4.450721,0.46513546,5.27533,0.13888495,3.546096,1.5992597,2.2611806,1.5891258,4.542252,0.35341775,4.394224,0.45704702,4.304406,0.36309025,4.0465913,0.68106955,2.404123,1.4940399,1,0037.FCS,train
4.151186,1.306013,4.2507334,0.81544185,5.31091,0.3604523,2.5571542,1.7607152,2.4645014,1.6977295,4.7389507,0.5933148,4.7148895,0.48328105,5.3305707,0.3380968,3.0968122,1.7479755,3.1317832,1.6067057,4.757983,0.9354029,4.387325,0.86596584,5.3326283,0.2606786,2.401087,1.8891715,2.8118763,1.735796,4.355423,1.4988054,5.0737233,0.68648237,5.288101,0.44457787,2.4883854,1.9770688,2.2743447,1.7719922,4.082718,1.4236186,4.7543473,0.6829223,5.2854967,0.40066203,3.6332839,1.5066762,4.8659196,1.4077688,4.559362,0.9491341,4.720213,0.66513354,5.3123574,0.32374915,3.4610896,1.8096428,5.120068,0.87433994,4.361564,1.0711824,4.4446883,0.7866773,5.341384,0.27287146,2.6855094,1.8503258,2.2827697,1.7214814,4.3593316,0.7690961,4.1386485,0.8042756,4.111579,0.6096887,2.593069,1.517481,2.5590065,1.5178803,1,0211.FCS,train
4.5045137,0.37655756,4.269388,0.95003766,5.25734,0.21521142,3.6316714,1.3302423,3.4848173,1.204786,5.010154,0.2326148,5.0689425,0.30191123,5.2533073,0.2132774,3.5549223,1.422003,3.6477268,1.0805013,4.7598286,0.29868862,4.57051,0.594855,5.262505,0.19359167,3.511275,1.4119402,3.5728648,1.088443,4.564182,0.45901972,5.2089863,0.53789335,5.2448864,0.29907495,3.6432555,1.4530251,3.2740982,1.3427176,4.5878158,0.39989546,5.18941,0.44124377,5.28203,0.15424201,4.694591,0.5919794,5.152308,0.35909906,5.3622546,0.36838034,5.1144795,0.45126408,5.281737,0.163261,4.4502463,0.8508387,4.908561,0.349018,4.543525,0.29627228,4.2870245,0.92059183,5.293716,0.18768214,3.6197324,1.3562127,3.39276,1.2526722,4.5414853,0.2791564,4.4894085,0.42170918,4.5395017,0.32595313,3.8160698,0.93958426,3.5230467,1.0295578,1,0095.FCS,train
3.8520367,1.1390969,3.3591921,1.5441899,5.147811,0.37236366,1.9408054,1.7379316,2.3755364,1.5665321,4.2174134,0.8776296,3.9342527,1.3658572,5.1328063,0.41342276,1.826466,1.7730519,2.7256963,1.5274241,5.0065317,0.79740196,3.3645253,1.7545342,5.134402,0.386919,2.5123904,1.9613208,3.1093123,1.5879542,3.9238992,1.2712198,4.5688133,1.49669,5.1152287,0.45301455,1.834809,2.0721462,3.018207,1.7601671,3.8507063,1.1969378,3.941905,1.5025471,5.1396065,0.3950877,2.1540356,1.8467772,3.916072,1.2904488,4.797455,0.8468948,4.0012884,1.5776718,5.132592,0.41299045,4.132314,1.8084188,3.5423973,1.5176152,4.347605,0.89431906,3.3742359,1.5985154,5.1430235,0.37313902,2.752891,1.8936081,2.701437,1.7470767,4.094877,0.59945965,3.9371495,0.7180042,4.0602736,0.48104766,2.3350024,1.5148365,2.372236,1.4210279,1,0026.FCS,train
4.282551,1.2357771,3.9901047,1.4778091,5.293473,0.211161,3.4139333,1.7064327,2.548916,1.6516095,4.97926,0.54559374,4.9357367,0.8762242,5.297219,0.23839007,3.5063922,1.7193435,3.1156383,1.5765061,4.8986397,0.64146495,4.372058,1.1486665,5.2895575,0.22209069,3.6440349,1.649302,2.9860625,1.6800116,4.7564588,1.3137157,4.715184,1.3519793,5.277754,0.28477883,3.9092171,1.9929227,4.7651353,1.4968728,4.419876,1.3029723,4.4622684,1.385287,5.2937183,0.21445207,4.0299373,1.8347834,4.105302,1.4596883,4.94981,0.75153387,4.0735784,1.5573236,5.2987823,0.24998039,3.9221961,1.6732457,4.87771,0.81433177,4.7190547,0.7408554,4.075528,1.4643095,5.2960806,0.2082293,3.9480352,1.4944024,2.6124792,1.5685664,4.559334,0.5619629,4.4435525,0.55890036,4.175982,0.60935754,3.729896,1.1950539,2.5083897,1.4613622,1,0005.FCS,train
4.442063,0.76490504,4.248961,0.8267502,5.236636,0.23294733,3.61297,1.4764913,2.8520133,1.4919158,5.036528,0.50903744,5.1799874,0.46229988,5.2402062,0.2539195,3.5260425,1.584262,4.170847,0.9673138,5.173769,0.4472526,4.367353,0.7852529,5.228866,0.24659382,3.4927702,1.5220568,2.6327586,1.6036658,4.9749284,0.9110204,5.129526,0.6496009,5.2391143,0.31192496,3.9617536,1.6308501,2.4583476,1.758012,4.8776,0.87935203,4.898516,0.70547724,5.238517,0.26412985,4.954868,1.0999088,4.877169,0.8568831,5.0271144,0.6371898,4.574219,0.76110286,5.2389865,0.28460917,4.1324077,1.3997453,5.0103784,0.47118947,5.0145073,0.59709877,4.1451755,1.0172383,5.240619,0.23849571,3.8092442,1.3595861,2.236552,1.6262337,4.493781,0.4398937,4.3515577,0.46266216,4.178596,0.43892583,3.8416774,0.93960184,2.4595335,1.4379257,1,0033.FCS,train
3.456568,1.6992997,3.1408715,1.7559831,5.1508884,0.49476886,1.9204888,1.8258982,2.044106,1.6703144,4.3198357,1.0895466,4.247607,1.3301454,5.13432,0.5573759,1.8478601,1.93943,2.715187,1.7182657,4.4966545,1.4647337,3.5091774,1.8120285,5.193576,0.4627235,2.377482,2.1022387,2.9077935,1.8926197,3.8994281,1.7503637,4.5410786,1.6471965,5.013567,0.9804557,1.386242,1.9432359,3.0449657,2.0714314,3.4001386,1.7695744,3.6948302,1.8143533,5.1503773,0.5174359,2.2876716,2.081904,3.7797782,1.8667027,4.2648077,1.3604031,3.7592351,1.8182528,5.1475463,0.501983,2.9584243,2.1282706,4.208046,1.4479803,4.254868,1.4148225,3.1879447,1.8844428,5.198443,0.45134118,3.0712755,2.050801,1.8988746,1.6887379,4.0603228,0.9860124,3.6940112,1.1715301,4.3105726,0.36486518,2.2761903,1.8426647,2.1049323,1.606496,1,0326.FCS,train
4.38971,0.67311573,4.0508018,0.8156023,5.3271346,0.120638296,1.7787641,1.8806959,2.1712112,1.6055876,4.7523737,0.58103025,4.6657615,0.69073546,5.323418,0.11320672,4.236747,1.5766811,2.8484123,1.5441905,4.84901,0.44441622,4.054529,0.9154645,5.327283,0.1163181,1.5328864,1.8485634,2.4078286,1.5906817,4.5113463,0.6530948,4.5525784,0.9228003,5.330641,0.12225974,1.4271826,1.8228943,2.033578,1.5659379,4.5307565,0.74342984,4.994461,0.6226332,5.3364463,0.13042966,3.995612,1.6811793,5.058184,0.59415436,5.3110127,0.38662824,4.954191,0.5222275,5.328757,0.11465681,4.8587055,1.3058461,4.589906,0.9069392,4.4561253,0.4080225,4.794437,0.780532,5.3361845,0.12605649,2.0925257,1.9733136,2.1735737,1.6283945,4.4410224,0.24892512,4.1493373,0.34921393,3.9222894,0.5259729,3.1006312,1.1196812,2.2376153,1.3933411,1,0165.FCS,train
3.6476936,1.3008758,2.4696202,1.8549477,5.3885956,0.22654204,2.1312077,2.0004277,1.3163785,1.5983548,4.7881227,0.54371595,4.9806223,0.5250936,5.3916173,0.23755379,2.051713,2.0704832,2.8672884,1.8566446,4.5969367,0.85629606,3.068342,1.8323402,5.3896623,0.22771914,2.2341185,2.1342452,2.3009815,1.9540179,3.5888097,1.5835614,5.109335,0.9861703,5.3816867,0.25305632,1.9583305,2.2401547,1.3545048,1.6847942,4.170465,1.3345821,4.5184584,1.4371728,5.3687487,0.2411014,3.4512296,2.1298656,4.0672755,1.4102335,4.819681,1.0683852,4.122288,1.8464333,5.4114904,0.23594625,3.7119758,2.127166,4.9806976,1.0304871,4.0394244,1.0237752,2.6540558,1.9850522,5.379558,0.24559492,2.691933,2.1418386,1.3098792,1.6476028,4.026874,0.7269575,3.6479046,1.0616677,3.9729035,0.6814656,2.9189804,1.7125478,1.73459,1.668592,1,0219.FCS,train
3.875072,0.7357273,3.5063202,1.1418192,5.0638933,0.23559907,2.1690528,1.8065606,1.9819556,1.595534,4.2821,0.5140269,4.255312,0.80091244,5.0335646,0.2975985,1.806307,1.7759185,2.0883448,1.5919651,5.4021635,0.39284274,2.0289674,1.8738003,5.0249906,0.28423718,1.9333315,1.8411658,3.13455,1.4760491,3.8426645,0.69539994,4.1918964,1.1865155,5.028036,0.36547905,1.600417,1.7794008,1.8272513,1.5579174,3.8888974,0.70675343,4.1991487,0.77067035,5.0355797,0.21775515,1.9627123,1.7876177,4.0399165,0.944191,3.4553132,1.0665013,4.8620596,0.52947223,5.045597,0.17547043,4.37912,1.5367184,5.347036,0.3198287,4.202207,0.46930194,3.5453928,1.0580997,4.9884157,0.38770953,2.2752793,1.8322009,1.7130867,1.516474,4.0090165,0.40315267,3.6230037,0.78588796,3.7626665,0.63386863,2.2918653,1.4508198,1.6860754,1.4748777,1,0058.FCS,train
4.1732335,1.0177529,4.374396,0.51939726,5.452094,0.18097205,2.862327,1.7517455,2.42929,1.7176464,4.910058,0.6200376,5.145583,0.31507453,5.444444,0.18735392,2.7488863,1.8084539,3.6719446,1.3004196,4.878318,0.55754673,4.672611,0.46031553,5.457608,0.16986036,2.6001036,1.8596175,3.319632,1.5716788,4.734147,0.95434415,4.8270345,0.61082655,5.4378114,0.20438729,2.6722255,1.873581,2.3263378,1.7565877,4.582251,0.9852559,5.2182198,0.40657756,5.415112,0.23705775,4.670152,1.0135683,4.9534755,0.9281502,5.1956744,0.7597765,4.7903237,0.61338276,5.4466834,0.19848262,3.7840676,1.6394695,5.2563,0.5084158,4.371137,0.65990484,4.377937,0.52799207,5.4300365,0.22669774,2.8839545,1.7746512,2.2104979,1.724716,4.4082193,0.4026787,4.318156,0.39496303,3.9857771,0.7930672,3.2410598,1.2343079,2.850028,1.3989693,1,0049.FCS,train
3.998465,1.3541875,3.8991833,0.9609976,5.2235017,0.47742844,1.3947157,1.6790531,2.257088,1.6139097,4.2696385,1.1811467,4.4413304,0.7610435,5.228183,0.5400738,1.1389875,1.6193336,2.7285843,1.5851016,4.4275866,0.8573833,4.003551,1.0298971,5.2175226,0.46789253,1.509394,1.8144441,3.081994,1.4808164,3.9581404,1.421131,4.641705,0.7921103,5.215707,0.5618889,1.0688931,1.6278648,2.817061,1.634774,3.9218078,1.451253,4.6131797,0.8852089,5.2111297,0.51777065,1.8483539,1.9518684,3.7170532,1.3160808,4.8551283,1.3206638,4.84022,0.9373036,5.2116575,0.4815848,4.4855313,1.5659207,4.9283476,0.90390146,4.433673,0.85815823,3.5845628,1.3484328,5.2252707,0.4508414,2.2413566,1.951042,2.0437386,1.6179227,4.2108173,0.84682053,3.8702285,0.75657386,3.6631935,0.9582344,2.0186007,1.4841963,2.003027,1.4987248,1,0227.FCS,train
3.4936328,1.1237833,3.9001598,0.90953666,5.3934727,0.2342131,1.6569375,1.8943583,1.5443195,1.6048582,4.6305585,0.6866985,4.8670115,0.42989987,5.3755407,0.31272414,1.458418,1.8644098,2.3992374,1.6600957,4.2502193,0.74617356,3.7889922,1.0437661,5.400911,0.25011903,1.4125408,1.8300792,1.3281008,1.5801389,3.8514524,1.2838715,4.4459467,0.8711618,5.3917804,0.30420423,2.2147753,2.2049932,3.7340226,1.6263098,4.6377883,1.0738204,5.2050295,0.49093246,5.388177,0.25950447,4.0628834,1.704236,4.7491174,0.90887266,3.3702176,1.2037097,3.9063718,0.969728,5.3899746,0.2481569,2.2199366,2.1429863,4.777834,0.7536754,3.565628,1.0182245,3.833581,0.97406566,5.3948703,0.2633803,1.6563969,1.924614,1.3655459,1.5557963,4.027124,0.43871823,4.0507483,0.3690557,3.6899438,0.7802598,2.8975182,1.3367702,1.8367869,1.5122626,1,0117.FCS,train
3.8446293,1.4413298,3.6989095,1.486831,5.195995,0.36920604,2.6644392,1.7324235,2.369038,1.6583923,4.3633566,0.8958327,4.303377,1.1508772,5.162081,0.4137043,2.1982753,1.8469231,2.7827344,1.6630634,4.640966,0.82637596,3.9396126,1.6448014,5.1751895,0.36290184,2.951269,1.9228655,3.4746768,1.5765547,3.8215332,1.8695858,4.813905,1.297356,4.9525976,1.0895958,1.3175725,2.0213208,2.7687461,1.7483219,3.783035,1.5276002,4.127406,1.3860766,5.1979785,0.36748022,2.3440492,1.8765705,3.6049852,1.6261233,4.6213527,1.156519,4.267472,1.450702,5.16902,0.44605753,3.3019702,1.8489183,4.6343307,1.181938,4.6323776,0.9080178,3.2447839,1.9602394,5.1913896,0.36675635,3.730579,1.6092256,2.2102833,1.7544296,4.282316,0.68691826,4.0093966,0.9358466,4.1901045,0.523381,2.4656565,1.6655881,2.3124797,1.5449919,1,0088.FCS,train
